id_listing,merk,model,segmen,tahun,kilometer,transmisi,bahan_bakar,kapasitas_cc,warna,kota,jumlah_pemilik,riwayat_servis,bekas_banjir,bekas_tabrak,pajak_hidup,budget_user_juta,harga_jual_juta,rekomendasi_score
MB20110001,Mitsubishi,Pajero Sport,SUV,2011,173944,AT,Diesel,2400,Abu-abu,Denpasar,2,Sebagian,Tidak,Tidak,Tidak,228.7,192.2,63.0
MB20210002,Daihatsu,Ayla,City Car,2021,86150,MT,Bensin,1157,Hitam,Makassar,1,Sebagian,Tidak,Tidak,Tidak,87.3,99.5,74.5
MB20190003,Toyota,Fortuner,SUV,2019,77444,AT,Diesel,2744,Silver,Yogyakarta,4,Sebagian,Tidak,Tidak,Ya,445.1,398.9,82.2
MB20220004,Daihatsu,Terios,SUV,2022,54032,MT,Bensin,1500,Putih,Depok,3,Tidak Ada,Tidak,Ya,Ya,199.7,172.0,73.9
MB20210005,Mitsubishi,Pajero Sport,SUV,2021,38245,AT,Diesel,2400,Merah,Semarang,1,Tidak Ada,Tidak,Tidak,Ya,645.3,545.1,93.2
MB20120006,Daihatsu,Ayla,City Car,2012,144119,AT,Bensin,1032,Biru,Depok,3,Tidak Ada,Tidak,Ya,Ya,50.0,35.4,47.7
MB20220007,Toyota,Fortuner,SUV,2022,31880,AT,Diesel,2589,Kuning,Depok,2,Sebagian,Tidak,Tidak,Ya,574.2,642.2,86.1
MB20200008,Daihatsu,Terios,SUV,2020,36728,MT,Bensin,1500,Kuning,Denpasar,3,Sebagian,Tidak,Tidak,Ya,210.3,176.3,86.3
MB20190009,Toyota,Fortuner,SUV,2019,94795,AT,Diesel,2412,Silver,Denpasar,3,Sebagian,Tidak,Ya,Ya,384.5,357.5,67.6
MB20160010,Daihatsu,Xenia,MPV,2016,116757,AT,Bensin,1433,Biru,Bogor,2,Tidak Ada,Tidak,Tidak,Ya,101.7,89.4,72.8
MB20200011,Suzuki,Ertiga,MPV,2020,82070,AT,Bensin,1416,Kuning,Semarang,3,Lengkap,Tidak,Tidak,Tidak,177.4,171.3,94.1
MB20190012,Toyota,Rush,SUV,2019,26460,MT,Bensin,1500,Abu-abu,Makassar,4,Tidak Ada,Tidak,Tidak,Ya,190.0,160.6,82.3
MB20150013,Toyota,Rush,SUV,2015,95274,MT,Bensin,1500,Coklat,Bandung,1,Lengkap,Tidak,Tidak,Ya,122.7,130.1,74.1
MB20160014,Daihatsu,Terios,SUV,2016,104764,AT,Bensin,1500,Coklat,Surabaya,2,Sebagian,Tidak,Tidak,Tidak,171.7,132.6,85.9
MB20220015,Toyota,Fortuner,SUV,2022,69986,AT,Bensin,2475,Hitam,Depok,2,Lengkap,Tidak,Tidak,Ya,477.7,487.5,93.8
MB20140016,Mitsubishi,Pajero Sport,SUV,2014,114194,AT,Diesel,2400,Kuning,Jakarta,1,Lengkap,Tidak,Tidak,Ya,382.6,340.2,84.9
MB20120017,Daihatsu,Xenia,MPV,2012,85308,AT,Bensin,1414,Silver,Medan,2,Lengkap,Ya,Tidak,Ya,52.9,61.3,34.0
MB20140018,Toyota,Innova,MPV,2014,130106,MT,Diesel,2043,Hitam,Depok,3,Lengkap,Tidak,Ya,Ya,166.2,184.2,48.4
MB20160019,Honda,Jazz,Hatchback,2016,123978,MT,Bensin,1500,Silver,Depok,1,Sebagian,Tidak,Tidak,Ya,105.1,108.6,68.3
MB20220020,Honda,Jazz,Hatchback,2022,15085,MT,Bensin,1500,Putih,Semarang,5,Lengkap,Tidak,Tidak,Ya,258.9,237.6,99.8
MB20150021,Honda,HR-V,SUV,2015,211901,AT,Bensin,1699,Kuning,Depok,2,Sebagian,Tidak,Ya,Ya,119.4,121.7,48.2
MB20150022,Daihatsu,Xenia,MPV,2015,65743,MT,Bensin,1420,Coklat,Semarang,4,Tidak Ada,Tidak,Ya,Ya,61.4,59.0,48.0
MB20230023,Mitsubishi,Xpander,MPV,2023,12640,MT,Bensin,1500,Kuning,Yogyakarta,4,Lengkap,Tidak,Tidak,Ya,242.4,244.6,97.0
MB20200024,Daihatsu,Xenia,MPV,2020,118566,AT,Bensin,1326,Coklat,Jakarta,1,Sebagian,Tidak,Tidak,Tidak,126.8,125.6,86.7
MB20170025,Toyota,Innova,MPV,2017,72997,AT,Bensin,2239,Silver,Bandung,1,Lengkap,Tidak,Tidak,Ya,250.5,250.9,87.4
MB20180026,Mitsubishi,Xpander,MPV,2018,45234,AT,Bensin,1500,Abu-abu,Tangerang,1,Sebagian,Tidak,Ya,Ya,87.5,131.9,8.0
MB20150027,Daihatsu,Terios,SUV,2015,79435,MT,Bensin,1500,Putih,Bekasi,2,Sebagian,Tidak,Tidak,Ya,95.4,111.9,55.4
MB20170028,Toyota,Avanza,MPV,2017,103831,MT,Bensin,1469,Abu-abu,Tangerang,2,Lengkap,Ya,Ya,Ya,87.7,89.3,45.4
MB20220029,Daihatsu,Ayla,City Car,2022,23375,MT,Bensin,1116,Abu-abu,Semarang,1,Lengkap,Ya,Ya,Ya,90.7,95.5,56.2
MB20120030,Toyota,Fortuner,SUV,2012,247426,AT,Bensin,2572,Biru,Denpasar,2,Tidak Ada,Tidak,Ya,Tidak,193.7,145.3,36.1
